affect,moral/mental,reality interaction
0.03,0.73,0.3
-0.2,0.64,0.26
0.49,-0.01,0.62
0.31,-0.03,0.74
-0.18,0.87,0.04
0.17,0.72,0.08
0.26,0.77,-0.03
0.25,0.85,-0.07
-0.05,0.83,0.05
0.87,0,0.21
0.88,-0.02,0.19
0.83,0.09,0.23
0.9,-0.01,-0.12
0.91,-0.04,0.14
0.91,-0.17,0.11
0.91,-0.16,0.1
