item,AVERAGE,stapler,stapler upper CI,car,car upper CI,computer,comp upper CI,robot,robot upper CI,microbe,microbe upper CI,beetle,beetle upper CI,fish,fish upper CI,bluejay,bluejay upper CI,frog,frog upper CI,mouse,mouse upper CI,goat,goat upper CI,dog,dog upper CI,bear,bear upper CI,dolphin,dolphin upper CI,elephant,elephant upper CI,chimp,chimp upper CI,fetus,fetus upper CI,pvs,pvs upper CI,infant,infant upper CI,child,child upper CI,adult,adult upper CI
experiencing pride,2.068656,0.48731,0.88731,0.346821,0.546821,0.363636,1.5,0.36,0.56,0,0.2,0.81,1.31,1.614213,2.5,2.242424,3,1.272727,2,1.266332,2,3.216495,4,2.91,3.9,2.575758,3.2,2.91,3.7,3.746193,4.5,3.060606,3.9,0.216495,0.616495,0.512563,1,1.283582,2,4.121212,4.6,5.577889,5.9
feeling disrespected,1.715303,0.304569,0.504569,0.104046,0.304046,0.545455,1,0.54,1,0.030457,0.230457,0.84,1.34,0.670051,1.2,1.151515,1.451515,0.878788,1.3,1.266332,2,1.57732,2.2,3,3.9,2.121212,2.9,2.34,3,2.80203,3.8,2.818182,3.8,0.247423,0.647423,0.934673,2.5,0.835821,1.2,3.363636,4.1,5.577889,5.9
telling right from wrong,1.726656,0.548223,0.948223,0.485549,0.685549,0.909091,1,1.32,2,0.213198,0.413198,0.66,1.16,1.096447,1.8,0.787879,1.187879,1.30303,2,1.356784,1.7,1.793814,2.5,3.12,4,1.757576,2.5,1.95,2.5,2.314721,3.1,2.606061,3.4,0.185567,0.585567,0.964824,2.5,0.238806,0.5,3.484848,4,5.21608,5.4
feeling embarrassed,1.532914,0.609137,1,0.242775,0.442775,0.454545,1.5,0.39,1,-0.060914,0.139086,0.81,1.31,0.365482,0.839594,0.484848,0.784848,0.878788,1.5,0.904523,1.2,1.298969,2,2.94,3.6,1.060606,1.2,2.1,2.7,1.857868,2.5,2.69697,3.5,0.092784,0.492784,0.572864,1,0.80597,2.2,4.69697,5.1,5.638191,6
experiencing guilt,1.573903,0.48731,0.88731,0.069364,0.269364,0.424242,1,0.39,1,0,0.2,0.72,1.22,0.639594,1,0.848485,1.148485,0.787879,1.5,0.934673,1.2,1.360825,2,3.81,4.5,1.30303,2,2.1,2.7,2.375635,3.2,2.757576,3.5,0.123711,0.523711,0.693467,1.1,0.477612,1,3.969697,4.7,5.60804,6
holding beliefs,1.488741,0.274112,0.474112,0.208092,0.408092,0.575758,1.2,0.66,1.2,0.152284,0.352284,0.72,1.22,0.700508,1.5,0.787879,1.087879,0.848485,1.5,1.447236,1.5,1.237113,1.9,2.04,2.8,1.454545,2.1,1.98,2.5,1.796954,2.6,1.909091,2.8,0.247423,0.647423,1.236181,2,0.507463,1,3.727273,4.1,5.638191,6
having intentions,2.96043,0.57868,1,0.346821,0.546821,1,2,1.17,2,0.913706,1.5,2.61,3.5,2.862944,3.562944,3.818182,4.5,2.848485,3.6,4.371859,5,3.216495,4,3.96,4.5,4.333333,5,4.23,4.8,3.837563,4.5,3.69697,4.2,0.742268,1.5,0.904523,1.1,1.58209,2.2,4.545455,5.1,5.698492,6
detecting odors,3.928495,0.395939,0.595939,0.728324,1.2,1.272727,2,3.18,4,1.614213,2.5,4.05,5,2.771574,3.471574,4.272727,5,4.848485,5.1,5.276382,5.5,5.505155,5.9,5.82,6,5.757576,6,4.5,5,5.086294,5.5,5.272727,5.5,0.804124,1.5,2.170854,3,4.537313,5,4.939394,5.1,5.396985,5.6
having free will,2.979373,0.243655,0.443655,0.346821,0.546821,0.515152,1.2,0.57,1,0.700508,1.1,2.7,3.5,3.350254,4.050254,3.727273,4.5,3.424242,4.1,3.527638,4.027638,3.958763,4.5,3.99,4.5,4.272727,4.9,4.5,5,4.35533,5,4.060606,4.5,0.804124,1.6,0.81407,1.5,2.537313,3.5,4,4.8,5.487437,6
having thoughts,3.054802,0.548223,1,0.138728,0.338728,0.575758,1.2,1.05,2,0.213198,0.413198,1.95,3,2.253807,2.953807,3.151515,4,3.363636,4,3.648241,4.148241,3.742268,4.5,4.08,4.6,4.363636,5,4.35,5,4.233503,5,4,4.7,1.268041,2.1,1.959799,2.8,3.343284,4,5.090909,5.5,5.668342,6
